RANK,IMPORTER,WINE IMPORTS,2021-2
1,United States of America,7684771000,4.2
2,United Kingdom,5063847000,9
3,Germany,2903334000,-14.2
4,Canada,2272048000,1.1
5,Japan,1881957000,10.2
6,Netherlands,1570806000,-7.7
7,China,1434947000,-15.1
8,Belgium,1358952000,-9.9
9,Switzerland,1355475000,-8.2
10,France,1067636000,6.6
11,Hong Kong,1023751000,-25.1
12,Russia,887553000,-29.1
13,Denmark,870479000,-10.9
14,Singapore,851548000,-0.3
15,Sweden,818684000,-7.8
16,Australia,729264000,0.1
17,South Korea,581282000,3.8
18,Italy,539972000,6.1
19,Norway,509662000,-10.2
20,Brazil,459774000,-3.5
21,Poland,402052000,-5.1
22,Mexico,398992000,46.9
23,Macao,368244000,63
24,Ireland,321975000,-6
25,Spain,297437000,4.6
26,Lithuania,285244000,-4.8
27,Czech Republic,284981000,-3.2
28,Taiwan,278598000,5.2
29,Austria,277803000,3.8
30,United Arab Emirates,247699000,22.8
31,Finland,238807000,-4.6
32,Portugal,208062000,1.8
33,New Zealand,166404000,-9
34,Latvia,162253000,12.8
35,Luxembourg,133383000,-10.7
36,Malaysia,131795000,59
37,Romania,123061000,12.3
38,Ukraine,117625000,-45.3
39,Thailand,116609000,122.2
40,Colombia,108405000,39.3
41,Vietnam,98477000,330.8
42,Dominican Rep.,96885000,22.6
43,Estonia,93944000,3.6
44,Israel,78972000,1.5
45,Greece,73224000,15.1
46,Slovakia,67434000,-21.2
47,Angola,60078000,78.1
48,Belarus,59156000,-29.2
49,Philippines,56144000,83
50,Panama,54093000,28.7
51,Peru,53595000,26.8
52,Namibia,53082000,3.7
53,Ivory Coast,52962000,-2.6
54,South Africa,51143000,17.2
55,Kazakhstan,48853000,4
56,Paraguay,45982000,1.9
57,Türkiye,43104000,74
58,Croatia,41997000,0.6
59,Costa Rica,39975000,13.8
60,Cyprus,38472000,10.5
61,Serbia,38405000,-4.4
62,Ecuador,38064000,19.1
63,Morocco,36007000,39.7
64,Bulgaria,35674000,-0.1
65,Cameroon,35605000,70.4
66,Iceland,34840000,-8.2
67,Ghana,34265000,4.1
68,India,33400000,42.1
69,Bahamas,26864000,43.3
70,Malta,26552000,9.7
71,Hungary,26260000,-2.6
72,Guatemala,24328000,17
73,Mauritius,23725000,108.2
74,Chile,23276000,-12
75,Kenya,22707000,5.4
76,Bosnia/Herzegovina,21203000,4.9
77,Venezuela,20105000,18.3
78,Slovenia,19208000,18.1
79,Andorra,18042000,10.2
80,New Caledonia,17098000,-17.5
81,Bermuda,17078000,7.4
82,Gabon,16223000,84.6
83,Mongolia,15980000,25.8
84,Uruguay,15914000,0.6
85,French Polynesia,15188000,-4
86,Maldives,15051000,4.2
87,Barbados,14820000,84.4
88,Botswana,14774000,19.5
89,Aruba,14711000,27
90,Nigeria,14426000,11.2
91,Cayman Islands,13552000,-31.6
92,Qatar,13300000,143.5
93,Dem. Rep. Congo,12712000,187.6
94,Jamaica,12460000,25.8
95,Togo,12287000,-0.9
96,Curaçao,12050000,9.7
97,Tanzania,11821000,8.8
98,Laos,11541000,514.2
99,Montenegro,11493000,49.4
100,Indonesia,11059000,30.4
